m,p,ld
4.462184873949579661e-02,2.025210084033613467e-01,5.554345250129699707e-01
4.537815126050420006e-02,2.025210084033613467e-01,5.585108399391174316e-01
4.613445378151260351e-02,2.025210084033613467e-01,5.617510080337524414e-01
4.689075630252100696e-02,2.025210084033613467e-01,5.652245283126831055e-01
4.764705882352941041e-02,2.025210084033613467e-01,5.686994791030883789e-01
4.840336134453781386e-02,2.025210084033613467e-01,5.722322463989257812e-01
4.915966386554621731e-02,2.025210084033613467e-01,5.758269429206848145e-01
4.991596638655462076e-02,2.025210084033613467e-01,5.789808034896850586e-01
5.067226890756302421e-02,2.025210084033613467e-01,5.817236900329589844e-01
5.142857142857142766e-02,2.025210084033613467e-01,5.846481919288635254e-01
5.218487394957983111e-02,2.025210084033613467e-01,5.902721881866455078e-01
5.294117647058823456e-02,2.025210084033613467e-01,5.929185748100280762e-01
5.369747899159663801e-02,2.025210084033613467e-01,5.955750346183776855e-01
5.445378151260504146e-02,2.025210084033613467e-01,5.982750654220581055e-01
5.521008403361344491e-02,2.025210084033613467e-01,6.008113026618957520e-01
5.596638655462184836e-02,2.025210084033613467e-01,6.031969785690307617e-01
5.672268907563025181e-02,2.025210084033613467e-01,6.053616404533386230e-01
5.747899159663865526e-02,2.025210084033613467e-01,6.076253652572631836e-01
5.823529411764705871e-02,2.025210084033613467e-01,6.097881197929382324e-01
5.899159663865546216e-02,2.025210084033613467e-01,6.119560003280639648e-01
5.974789915966386561e-02,2.025210084033613467e-01,6.138321161270141602e-01
6.050420168067226906e-02,2.025210084033613467e-01,6.154525279998779297e-01
6.126050420168067251e-02,2.025210084033613467e-01,6.167333722114562988e-01
6.201680672268907596e-02,2.025210084033613467e-01,6.176280379295349121e-01
6.277310924369747247e-02,2.025210084033613467e-01,6.185841560363769531e-01
6.352941176470587592e-02,2.025210084033613467e-01,6.195783019065856934e-01
6.428571428571427937e-02,2.025210084033613467e-01,6.203761696815490723e-01
6.504201680672268282e-02,2.025210084033613467e-01,6.210722923278808594e-01
6.579831932773108627e-02,2.025210084033613467e-01,6.215362548828125000e-01
6.655462184873948972e-02,2.025210084033613467e-01,6.218867301940917969e-01
6.731092436974789317e-02,2.025210084033613467e-01,6.224091053009033203e-01
6.806722689075629662e-02,2.025210084033613467e-01,6.227070689201354980e-01
6.882352941176470007e-02,2.025210084033613467e-01,6.230675578117370605e-01
6.957983193277310352e-02,2.025210084033613467e-01,6.232673525810241699e-01
7.033613445378150697e-02,2.025210084033613467e-01,6.230879426002502441e-01
7.109243697478991042e-02,2.025210084033613467e-01,6.229763627052307129e-01
7.184873949579831387e-02,2.025210084033613467e-01,6.225355267524719238e-01
7.260504201680671732e-02,2.025210084033613467e-01,6.220705509185791016e-01
7.336134453781512077e-02,2.025210084033613467e-01,6.214918494224548340e-01
7.411764705882352422e-02,2.025210084033613467e-01,6.208512187004089355e-01
7.487394957983192767e-02,2.025210084033613467e-01,6.202400326728820801e-01
7.563025210084033112e-02,2.025210084033613467e-01,6.196543574333190918e-01
