"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
49, 1.462489638828143e-01, 1.428641628241341e-01, 8.688483130870461e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.461053387897437e+00
50, 1.509624366345779e-01, 1.445279674698606e-01, 8.655565482151707e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.433346504077959e+00
51, 1.556988899380262e-01, 1.461251644433406e-01, 8.606985462228014e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.396204389555070e+00
52, 1.604574159038971e-01, 1.476553677869848e-01, 8.568273785850568e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.366411260013161e+00
53, 1.652361514189140e-01, 1.491212326646572e-01, 8.513836887239310e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.323818385242043e+00
54, 1.700349846437541e-01, 1.505198874696445e-01, 8.471342637408517e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.290358220268616e+00
55, 1.748528173815629e-01, 1.518516484142023e-01, 8.445011087932196e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.267964854730332e+00
56, 1.796880787498909e-01, 1.531186614238697e-01, 8.415764715956922e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.244323237663296e+00
57, 1.845405256312293e-01, 1.543181629614518e-01, 8.388592616656426e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.222834521659089e+00
58, 1.894090573699918e-01, 1.554506394394883e-01, 8.365083620715879e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.204313237180088e+00
59, 1.942922470593433e-01, 1.565181311109805e-01, 8.343023543958996e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.187296386995524e+00
60, 1.991897068505971e-01, 1.575181008453458e-01, 8.320192559701288e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.168818858815516e+00
61, 2.041004411574310e-01, 1.584507290292610e-01, 8.292529126140352e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.147381994526111e+00
