"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
107, 2.467778060390341e-01, 1.428182424814214e-01, 8.541862896584642e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.348470613399266e+00
108, 2.497519387653590e-01, 1.431733908448988e-01, 8.536775102217536e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.344780879057647e+00
109, 2.527279404853154e-01, 1.435125239642250e-01, 8.531901875495322e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.341255053569200e+00
110, 2.557057185691932e-01, 1.438356844854078e-01, 8.527983800921021e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.338449365566317e+00
111, 2.586851821247729e-01, 1.441429187522421e-01, 8.523429688436843e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.335180098740254e+00
112, 2.616662405326003e-01, 1.444342727765697e-01, 8.519730072927242e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.332563794521102e+00
113, 2.646488048303997e-01, 1.447097862967104e-01, 8.516481187541711e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.330299715274604e+00
114, 2.676327869344189e-01, 1.449694917448604e-01, 8.513835599417927e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.328513418718996e+00
115, 2.706180992634553e-01, 1.452134347314379e-01, 8.511743199560575e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.327134449964271e+00
116, 2.736046539230199e-01, 1.454416610482084e-01, 8.509505357307973e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.325658292020431e+00
117, 2.765923650932324e-01, 1.456542147257165e-01, 8.507953863137643e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.324694462392105e+00
118, 2.795811480985710e-01, 1.458511262769087e-01, 8.505943039320266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.323378947534776e+00
119, 2.825709177464480e-01, 1.460324380281817e-01, 8.504109297441104e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.322200089524882e+00
120, 2.855615902146413e-01, 1.461981959644771e-01, 8.503117385825550e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.321680163367007e+00
121, 2.885530818490482e-01, 1.463484454153179e-01, 8.502885876250297e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.321755033987321e+00
122, 2.915453108040515e-01, 1.464832186764807e-01, 8.502995340969485e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.322097198166330e+00
123, 2.945381951302428e-01, 1.466025552142771e-01, 8.503450945152525e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.322685293241450e+00
124, 2.975316534685865e-01, 1.467065013078196e-01, 8.503895423556217e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.323267813877862e+00
125, 3.005256054195857e-01, 1.467951028064421e-01, 8.504292095308116e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.323847183442775e+00
126, 3.035199712181421e-01, 1.468683933785967e-01, 8.504863303470526e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.324560670728973e+00
127, 3.065146719662254e-01, 1.469264117873045e-01, 8.505898204115319e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.325617489831851e+00
